22-06-2024 18:23:33.3333 INFO: Creating new Book with Title [Book Title Two] | request #1
22-06-2024 18:23:55.5555 INFO: Creating new Book with Title [Book Title Three] | request #2
22-06-2024 18:24:42.4242 INFO: Update Book id [2] price to 300.0 | request #3
22-06-2024 18:28:29.2929 INFO Update Book id [1] price to 1000.0 | request #8
22-06-2024 18:28:29.2929 DEBUG Book [Book Title Two] price change: 19.99 --> 1000.0 | request #8
07-12-2024 14:03:59.5959 INFO: Total Books found for requested filters is 0 | request #5
07-12-2024 14:04:55.5555 INFO: Total Books found for requested filters is 0 | request #1
07-12-2024 14:05:08.088 INFO: Total Books found for requested filters is 0 | request #1
07-12-2024 14:05:09.099 INFO: Total Books found for requested filters is 0 | request #2
07-12-2024 14:05:10.1010 INFO: Total Books found for requested filters is 0 | request #3
07-12-2024 14:05:11.1111 INFO: Total Books found for requested filters is 0 | request #4
07-12-2024 14:05:11.1111 INFO: Total Books found for requested filters is 0 | request #5
07-12-2024 14:05:23.2323 INFO: Total Books found for requested filters is 0 | request #1
07-12-2024 14:09:18.1818 INFO: Total Books found for requested filters is 0 | request #1
07-12-2024 14:09:27.2727 INFO: Total Books found for requested filters is 0 | request #2
07-12-2024 14:11:31.3131 INFO: Total Books found for requested filters is 0 | request #1
07-12-2024 14:11:33.3333 INFO: Total Books found for requested filters is 0 | request #2
07-12-2024 14:12:03.033 INFO: Total Books found for requested filters is 0 | request #1
07-12-2024 14:14:02.022 INFO: Creating new Book with Title [Pride and Prejudice] | request #2
07-12-2024 14:14:31.3131 INFO: Update Book id [1] price to 50.0 | request #3
07-12-2024 14:16:00.000 INFO: Creating new Book with Title [Pride and Prejudice] | request #2
07-12-2024 14:16:18.1818 INFO: Update Book id [1] price to 50.0 | request #3
07-12-2024 14:16:56.5656 INFO: Creating new Book with Title [Pride and Prejudice] | request #1
07-12-2024 14:17:01.011 INFO: Update Book id [1] price to 50.0 | request #2
